datum,inc_I_d
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-03-29,0
2020-03-02,0.0
2020-03-03,0.005611890862716937
2020-03-04,0.0
2020-03-05,0.01683567258815081
2020-03-06,0.021767034149580228
2020-03-07,0.018534117250557126
2020-03-08,0.035160255362523166
2020-03-09,0.011130245401712938
2020-03-10,0.07308475541554443
2020-03-11,0.15264331718561655
2020-03-12,0.05906077625749462
2020-03-13,0.08782041283097375
2020-03-14,0.15958944919072138
2020-03-15,0.3753006088705494
2020-03-16,0.3583727726350796
2020-03-17,0.23331185032158364
2020-03-18,0.4321068240012662
2020-03-19,0.7129735359259097
2020-03-20,0.5197412073961711
2020-03-21,0.4877324490183903
2020-03-22,0.4480283872367963
2020-03-23,0.47350972266622104
2020-03-24,0.7196669406851015
2020-03-25,1.2566861707935564
2020-03-26,1.2462535501378307
2020-03-27,1.5513397321240916
2020-03-28,1.3166558955615475
2020-03-29,0.6599591523454258
2020-03-30,0.9409489857912625
2020-03-31,1.5597974031235964
2020-04-01,1.199587432680973
2020-04-02,1.1199762898219685
2020-04-03,1.5953781797454525
2020-04-04,1.3907559764111248
2020-04-05,0.5261958299533696
2020-04-06,1.100545504928892
2020-04-07,1.0222130546302388
2020-04-08,1.5440765474263891
2020-04-09,1.1119088276928153
2020-04-10,0.7929409218387526
2020-04-11,0.9216198977480516
2020-04-12,0.4373597754707461
2020-04-13,0.35912543718854195
2020-04-14,0.42484856227465073
2020-04-15,0.7436194547407062
2020-04-16,0.6393850446419513
2020-04-17,0.5230887489927234
2020-04-18,0.4143307826956537
2020-04-19,0.6033851565382733
2020-04-20,0.6100237358903051
2020-04-21,0.6469183761537707
2020-04-22,0.43655396725679907
2020-04-23,0.31669200141610077
2020-04-24,0.39999859287267725
2020-04-25,0.4276193926948437
2020-04-26,0.30274903527978836
2020-04-27,0.21529794347776487
2020-04-28,0.26415277773688217
2020-04-29,0.25841453755177923
2020-04-30,0.2743769038594266
2020-05-01,0.2194319468414605
2020-05-02,0.10934585323882118
2020-05-03,0.13332660468340407
2020-05-04,0.11709547473647319
2020-05-05,0.3384178976941996
2020-05-06,0.40627316767019295
2020-05-07,0.21290355068245503
2020-05-08,0.19894998053110413
2020-05-09,0.03630717856610488
2020-05-10,0.11645941677603133
2020-05-11,0.20555568244557065
2020-05-12,0.18416959006585643
2020-05-13,0.16978354824478004
2020-05-14,0.37090986580303564
2020-05-15,0.2267941851810491
2020-05-16,0.13931205043205352
2020-05-17,0.03149074870091084
2020-05-18,0.35613578404041846
2020-05-19,0.160857233478076
2020-05-20,0.24404725591412557
2020-05-21,0.13678074479751245
2020-05-22,0.17076964688040874
2020-05-23,0.2712550241889744
2020-05-24,0.208037832273142
2020-05-25,0.16088622473739633
2020-05-26,0.13474277033093784
2020-05-27,0.09943692752786859
2020-05-28,0.16915270045090836
2020-05-29,0.17596234329200655
2020-05-30,0.0786026089273193
2020-05-31,0.08630864120818416
2020-06-01,0.053056725571380525
2020-06-02,0.1854881224704883
2020-06-03,0.178837007322862
2020-06-04,0.18478878241313623
2020-06-05,0.08255241033081973
2020-06-06,0.14666360913991383
2020-06-07,0.16593493914538016
2020-06-08,0.1910321875065577
2020-06-09,0.1504183217479067
2020-06-10,0.20089834849557775
2020-06-11,0.16500905552305767
2020-06-12,0.11678314367944864
2020-06-13,0.13393375367089533
2020-06-14,0.10246532406348052
2020-06-15,0.10450749615413457
2020-06-16,0.15107257050561174
2020-06-17,0.11635485041453819
2020-06-18,0.2863576092903486
2020-06-19,0.3713270883057689
2020-06-20,0.13153668182954448
2020-06-21,0.2171689311533953
2020-06-22,0.2104864495532226
2020-06-23,0.27394933538639776
2020-06-24,0.40194360772512283
2020-06-25,0.2947199303093626
2020-06-26,0.4629359988928883
2020-06-27,0.6089717501274023
2020-06-28,0.7340318526204754
2020-06-29,0.5397758801679515
2020-06-30,0.3989972226189522
2020-07-01,0.31061841925568956
2020-07-02,0.386617300790121
2020-07-03,0.44579217729764054
2020-07-04,0.4563009449349096
2020-07-05,0.24949251108859727
2020-07-06,0.13477110095239908
2020-07-07,0.4882058640268312
2020-07-08,0.37443036448919287
2020-07-09,0.3683867207822473
2020-07-10,0.43479070335061465
2020-07-11,0.15803819224379367
2020-07-12,0.1893815787736557
2020-07-13,0.2122097165883048
2020-07-14,0.3862013297623932
2020-07-15,0.4962195828091538
2020-07-16,0.5504002814526316
2020-07-17,0.5526464060652287
2020-07-18,0.3335262197310698
2020-07-19,0.28372180800401026
2020-07-20,0.5835469540822942
2020-07-21,0.6644250367507922
2020-07-22,0.8155605078033616
2020-07-23,0.8651248478666886
2020-07-24,1.0748403704583183
2020-07-25,0.5261801425438009
2020-07-26,0.5037511554180725
2020-07-27,0.7856662341148066
2020-07-28,1.1051249204543936
2020-07-29,1.1126543543650769
2020-07-30,1.2221659764128816
2020-07-31,1.0047930231419357
2020-08-01,0.41831122819745303
2020-08-02,0.36189779349054163
2020-08-03,0.7668941852756888
2020-08-04,0.9932551418874596
2020-08-05,0.9858520573221199
2020-08-06,0.8245051626402642
2020-08-07,1.337448708457515
2020-08-08,0.587724251822749
2020-08-09,0.45535148059541086
2020-08-10,0.4487568439340066
2020-08-11,1.0958680711358824
2020-08-12,1.1003594450834129
2020-08-13,1.2907074514238843
2020-08-14,1.132214407005165
2020-08-15,0.6556576775931262
2020-08-16,0.4694466003094817
2020-08-17,0.7662955108401945
2020-08-18,1.1752474825639467
2020-08-19,1.2192540720660503
2020-08-20,0.9807641759775407
2020-08-21,1.931010580469433
2020-08-22,0.8070508305083308
2020-08-23,0.49375031377394407
2020-08-24,1.07212943212933
2020-08-25,1.5780087948756005
2020-08-26,1.519941150747897
2020-08-27,1.4213751420974603
2020-08-28,1.97456643277296
2020-08-29,1.402192458635156
2020-08-30,0.8141212125019877
2020-08-31,0.98132141248999
2020-09-01,2.168472532170199
2020-09-02,2.9303626975040515
2020-09-03,2.7624588082715036
2020-09-04,3.352053340540479
2020-09-05,2.2366918608429103
2020-09-06,1.4433056099841934
2020-09-07,2.6649978191008046
2020-09-08,4.69397445769539
2020-09-09,4.727380089891653
2020-09-10,5.878148858746485
2020-09-11,6.3587884499312395
2020-09-12,6.262080663678233
2020-09-13,2.9653410655735684
2020-09-14,4.235855490112982
2020-09-15,7.769654445233726
2020-09-16,9.440294625016804
2020-09-17,12.780198721040506
2020-09-18,8.969590049485703
2020-09-19,7.760249317166313
2020-09-20,3.957034317308427
2020-09-21,6.734136898794901
2020-09-22,9.924210634501463
2020-09-23,9.766095693996192
2020-09-24,12.09487555502983
2020-09-25,13.910337246480424
2020-09-26,8.766757868400504
2020-09-27,5.690491851764989
2020-09-28,6.440328386166243
2020-09-29,9.192920112786965
2020-09-30,13.037054767584891
2020-10-01,16.69947739814586
2020-10-02,18.43472925982269
2020-10-03,12.25346828460215
2020-10-04,7.171232071902466
2020-10-05,15.411431480464046
2020-10-06,20.850601627527
2020-10-07,25.400213815594157
2020-10-08,26.614364703049944
2020-10-09,39.926321912690696
2020-10-10,23.09942782369103
2020-10-11,14.827652011338955
2020-10-12,21.124251384337867
2020-10-13,41.29005659011102
2020-10-14,46.89150696272975
2020-10-15,48.250963966471886
2020-10-16,57.68399390099023
2020-10-17,46.123437591873426
2020-10-18,26.635779780869598
2020-10-19,40.764473133090746
2020-10-20,61.62033685828851
2020-10-21,77.85934907729984
2020-10-22,74.89503163155496
2020-10-23,79.70644684157196
2020-10-24,69.97759971208006
2020-10-25,39.36293124882013
2020-10-26,52.933771667947894
2020-10-27,83.40440813895248
2020-10-28,70.4529606666108
2020-10-29,68.90307690299187
2020-10-30,75.8184931193257
2020-10-31,65.53442764039369
2020-11-01,35.80666445230804
2020-11-02,51.72650220340324
2020-11-03,67.82901494949192
2020-11-04,86.44126243140818
2020-11-05,76.66762588660185
2020-11-06,66.82205587276167
2020-11-07,45.36710524965156
2020-11-08,19.62873748391212
2020-11-09,33.302069862458666
2020-11-10,52.402826646108224
2020-11-11,49.5301426042879
2020-11-12,45.99817247093597
2020-11-13,41.8772943399681
2020-11-14,23.825440348086886
2020-11-15,9.628456652967998
2020-11-16,30.741753112913102
2020-11-17,23.544791618235195
2020-11-18,31.287670685215744
2020-11-19,37.571645417847776
2020-11-20,32.63133195514229
2020-11-21,17.29772241127739
2020-11-22,7.815015474696793
2020-11-23,25.379614929306626
2020-11-24,32.961404562051484
2020-11-25,27.382331699091083
2020-11-26,23.307265884400294
2020-11-27,24.36715246220183
2020-11-28,14.395547096281462
2020-11-29,5.144862872075464
2020-11-30,19.3838681402558
2020-12-01,28.29347496784294
